Index,Text
51,
52,정식 계약 겁니다 그때 준비 주셔야 신분증 그다음 등본 그다음 개월치 통장 거래 역서 이렇게만 준비 주시 되구요 이해 하셨나요 이렇게만 준비 주시 됩니다 고객
53,오늘 죽어요 오늘 죽어
54,그럼요 부터 바뀌어 갖고 예전 에는 서류 대출 이었습니다 근데 부터 부터 맡겨서 지금 대출 후설 입니다 고객 어느 대출 회사
55,
56,알겠 그래 갖고 그래 갖고 없던 이런 생기 니까 고객 생각 있으시면 진행 언제 든지 가능하시구요
57,네네
58,일단 여보세요 그럼 어떻게 하실 생각 이세 고객
59,지금 시가 가니까
60,내일 진행 하면 될까 그러셔도 되고 근데 고객 저희 까지 합니다 그래요
61,네네
62,까지 까지는 하니 깐요 고객 의향 하실 의향 있으시면 바로 진행 하셔도 되고요 고객
63,김치 있는데
64,네네
65,잠깐
66,예치
67,금액
68,그러면 고객 께서 융통 하시고 지인 분들 융통 보시 그러고 연락 주세요 고객 오늘 되시나요 아니면은 내일 되실 같아요 오전 시작 출근 이니까 부터 하니까 회의 들어갔다 오고 하면은 안짝 이나 겁니다 출근 해서 바로 전화 드리든 전화 드릴게요 잠깐
69,어제
70,지금 전화 번호 있죠 저희 대표 번호 전화 주셔서 김우석 대리 찾아주시면 됩니다
71,네네 내내
72,여보세요
73,해져요
74,저희 대표 번호 따로 있거든요 알려 드릴 까요 번호 같습니다 고객 전화 주시 찾아주시면 되구요 궁금하신 거나 있으 그런 사항 있으시면 바로바로 전화해서 해결 하시면 되구요 아시겠죠 고객 알겠습니다 좋은 하루 되시고요 고객 김석 들이었습니다
1,사도 많지 않다 필요하다 있어요 없어요 없으면 바로 처리 할게 아줌마 한테 전화한 서로 좋게 하려고 인간 으로 전화한 겁니다 나도 용구 했고 원하는 본이고 해치 않는다고 그치 동요 에서 신고 들어가거나 시킨 대로 하면 그때 죽인다 원하는 전부 현찰 이다 위치 있는가 도람 IC 시키는 대로 단계 단계 움직여 주게 오라 으로 오면 된다 알았지 먼저 어딘 필요 없고
1,똑바로 얘기 라고 신고 하면 진짜 죽여 버린다 여보세요 필요해 가지 혜림이 잠깐 데리 있는 거지 이고 이고 하고 싶지 않으니까 전화 끊고 죽는 끊어 신고 할려고 그래 지금 전화
1,여기 지금 지하 창고 며칠 깜빵 에서 나왔는데 쪼까 필요해서 어머님 지하 창고 잡아주고 있어 지금 여보세요 전화기 끊고 경찰 한테 신고하거나 짓거리 하면 엄마 손가락 잘라 버릴 거야 알겠어 있어 여보세요 지금 듣고 있는 거야 이빠 동철 어르신 나가 일단 손가락 잘라 버려 지금 형부 금방 금방 금방 대답 여보세요 어르신 구름 하는데 중이 라는 맞아 여보세요 지금 하는 되는 같은데 어르신 엄마 지금 잠깐 지가 창고 광범위 있다고 무슨 인지 알겠어 지금 단지 필요한 지금 이지 엄마 목숨 아니야 어디 예요 지금 직장 이야 이씨 이따 전화 끊어
1,필요해서 어머님 지하 창고 잡아 두고 있어 한테 신고하거나 짓거리 하면 어머님 손가락 잘라 버릴 알겠어
1,대체 대사 입니다 혹시 자금 필요한 있으신 가요 이번 에요 무슨 필요한 카드 대출 이에요 서류 필요 없는 카드 대출 캐피탈 고객 저희 모든 캐피탈 가능하시고 고객 그게 맞는 상품 으로 안내 드려요 금리 돼서
1,하세요 신한 고민 입니다
2,스마 연차 어머
3,이번 에는 연체 없으시면 당일 대출 가능하신데 맞으시면 혹시 필요 자금 있으세요
4,아이 연체 없으면은 되지만 금리 어떻게 되나요
5,나올 있는 금액 얼마 하고 정확한 이율 프로 먼저 뽑아 드리는 거세 으로서
6,조건 내면 이제 나훈 바로 이렇게 보내주시는 건가
7,러시 마음 드시는 용지 내주시라구요 키로 자금 있으세요
8,마이스 서습이 있어가지고요 금리 낮으면 시간 이내였는데요
9,아니요 은행 에서는 전화 드려요 금융 이에요 은행 에서 답답해서 전화 하겠어요
1,행복 약속 하는 신한은행 입니다 국민 행복 기금 정부 자금 으로 금리 부채 마이너스 통장 개설 통합 가능하십니다 마이너스 통장 발급 신청 거부 눌러주세요
1,여보세요 금융 인데 고객 저희 서류 없이 대출 가능하신데 필요하신 자금 있으세요 계획 전혀 없으세요 고객 신용 대출 아닌데요 알겠습니다
1,저축은행 이에요 고객 계속 고객 이랑 작업 대출 지금 감사 에서 감사 대상 있는데 만나는 보이시면은 자기 당연히 이건 인척 사이다 뭔가 수수료 바라고 드렸다 라고 밖에 보여요 그래서 고기 고객 계신 대로 가고 싶어도 갔던 예요 고객 그니까 고객 한테 처음 부터 말씀드렸다시피 처음 부터 저희 으로 방문 주셔야 되는데 방문 어려우셔서 어렵게 본점 계신 과장 부탁 드리고 진행 드렸던 예요 입장 생각 주셔야 돼요 왜냐면 되는 드렸기 입장 에서 지금 방문 하신다라고 하시면 서류 처음 부터 들러 보실 텐데 그렇게 되시면 잔고 증명 하실 백이만 빌려 드렸거든요
1,지하철 전문 배송 업체 그리고 물건 자체 무거운 아니고 법원 들어가는 공탁 서류 부동산 자동차 매매 매입 서류 그다음 인테리 리얼 견적 견적 역서 이런 있죠 서류 배송 힘든 없으시고 일당 당일 바로바로 지급 드리고 이에요 하시면 저희 예단 예물 같은 배송 있어요 고런 이제 처음 오시 바로 드리는 아니고 빨리 빨리 주시면은 예단 예물 같은 경우 단가 쎄요 이만 하고 그런 저희 면접 따로 보구 그리고 출구 마다 저희 직원 분들 나와 있어요 그럼 직원 한테 넘겨 주시면은 직원 분들 들면 법원 들어가는 공탁 서류 직접 법원 까지 배송 하시는 고철 중간 에만 이동 하시면서 배송 해주시 되는 예요 들어서
2,노포역 에서 물건 받아서 심평역 까지 가라 하면은 심평역 가면 그랬더니 감당 직원 나와
3,출구 마다 나와 있어요 그럼 가지 해주시 되는 거고요
4,연락 같은 어떻게 니까 여기 아니야 도착 했어 보니
5,들어가지고 에서 저희 까지 예요 출근 어디 하시냐 까지 자퇴 에서 가까운 지하철 으로 하시면은 전화 으로 일거리 드리는데 본인 오늘 나오면 인상 들어 청바지 검은색 입으셨다 이번 출구 나와 계세 이번 출구 나와 계실 아니에요 장차 말씀 드리고 실버 물류 에서 나오셨어요 확인 서류 확인 하고 건네주시고 요렇게 하시면
1,다시 안아 보시 연락 주시 되실까 다시 못잡고 있을 없잖요
2,아요 그게 끊지 마시고요 치면 돼요 왜냐하면 너무 걸려 있기
3,그건 있어서요 그랬기 고객 최대한 고객 으로 지금 하고 있잖아요
4,대단히 감사한데요 만약 경우 에는 취소
5,된다고 하시나요 된다고는 하지 마십시오 저희 지금 고객 코드 맞으셔서 고객 으로 입금
6,만약 아닐 수도 있잖아요 도저 십이 라는 이상 구해 해드릴 수가 없어요 그러 너무 좋은데 지금 되게
7,많이 틀렸거든요 말고 지금 바로 고객 으로 입금 처리 드렸는데 고객 코드 으로 고객 막혀 버려가지고 저희 배송 해드려요 입금 하고 지금 있잖아요 트럭 에는 이로 주어진 마다 전산 으로 주어진 코드 있단 이에요
8,그래서 이제
9,고객 께서 지금 고객 막혀 버렸는데 그거 푸재 해야만이 고객 예치 받아 보시는데
10,그러니까 받으면 취소 해야 되나요
11,고객 취소 하십니까 고객 지금 계시는 부분 고객 저희 처리 드리겠다고 하시는데
12,그렇죠 너무 감사한데 지금 없는데 주잖아요 지금 해드리잖아요 너무 거든요
13,번만 알아보시고 연락 주시 되실까
14,저희 투자 그니까 지금 어떻게 수가 없어요 그래서 그거 취소 해야 되나요 너무 아까운 잖아요 아깝고 일단
15,있으시구요 고객
16,솔직히 그렇게 하고 싶어요 왜냐하면 주인 한테 주신 잖아요 지금 아공 분들 이라도 그냥 돌려 드리려고 그냥 대출 포기 하는 그렇게 밖에 없지 않나 싶어요 지금
17,그러 그럴 인가요 지금 자금 나오셨는데 그냥 배송 하시면 되시는데요
18,친구 바이 구리거든 부장 해주시 빼가시면 모를까
19,고객 저희 전산 상인 코드 전산 으로도 고객 지금 물려 있단 이에요
20,그러니까 그래서 부장 해주시 주시 빼가세요 그래 주면 돼요
21,면터 얼마나 좋겠습니까 리가 있으면 얼마나 좋겠습니까 그렇게 해드렸죠
22,개인 으로 그렇게 주시 시간 되시고 하던데
23,저희 그런 권리 있으시면 좋겠습니다 하다가 다른 포장 들어가서 빼고 그랬으면 좋겠습니다
24,그거 넘어요
25,이지 모르십니다 고객
26,그거 이제 풀이 하면 시간 걸잖아요
27,고객 푸는 시간 얼마 걸리세요
28,그거 걸리잖아요 지금 아까 정도 아니요 아까 지금 이라 그랬는데 지금 예요 됐는데
29,그러니깐 고객 으로 연락 드린다고 하셨잖아요
30,아까 중식 있어 봤을 바로 해주신다 그랬는데 같아요 확인 되시고
31,으로 지금 정도 입금 드리고 나셔 고객 순번 돌아오시니까 입금 시도 했잖아요 입금 시도 아니세요
32,라이 가인 감사한데요 오늘 너무 커요
33,정도 까지 고객 비용 부담 하실 있으세요
34,지금 식당 에다 올려놓고 있는 이요
35,갖고는 어이 없으니요
36,그러니까 해서
1,오리 금융 인데 대출 필요하신 맞으시죠 로건 영화 회사 에서 같이 금융 인데 대출 요즘 전화 으로 가능하세요 그렇죠 저희 에서 바로 드리는 시장 어떻게 되는 건가 서울 있어요 서울 서아요 서울 아래 끊러 의심스러우시면 하셔도 상관없고
1,손님
2,주세요
3,희나는 우체
4,오셨어요 일단 거기 통장 카드 보이시잖아요 군가 안오나요 이번 나누셔야 돼요 얼마 설마 시지
5,지금
6,오만 이렇게 받아서 잠깐 일단 만들 거고 일단 월요일 먼저 차금 부터 제한 처리 하는 방향 으로 해서 진행 니까 빨리 그런 낮은 대화 빨리 하셔야죠 밖에 많이 추우시죠
7,
8,감기 조심 왔는데 감기 너무 심하게 걸려 갖고
9,칠칠일구 신청 어시
10,
11,불러주세요
12,거기 무통 통장 카드 누르시고 입금 누르시면 나오시던가 아마 그러실 예요
13,자동 하기 위해 카드 부분 원하시는 거래 버튼 읽어주시면
14,누르시면 주민등록 누르라 오시
15,인증 보죠 자리 일칠 입금
16,다방
17,하나 시폰 전화
18,
19,성함 의료 나오실 텐데
20,입력 원하지 않으시면 생략 눌러주십시오
21,누르시면 인제 일단 먼저 부터 먼저 드릴게요 고객
22,현금 짜하게 하여 당히 입구 을시 관자
23,
24,오늘 열한 까지 업무 하시는 예요 양심 붉은당 하세요
25,아이고 그냥 끝나서 한번 잡는다
26,한로 계신 화동 시세 지금 힘드시겠으면 식사 아직 드신 다이어트 다이어트 있냐고 고객 지금 걱정 너무 하지 마세요 드릴 니까 통장 가주
27,하나 반환 돼가지고
28,됐어요 누가
29,카드 르시 주민 번호 잠시
30,
31,
32,잠시
33,천천히 하세요 손통 되어 있는
34,확인 시오 최근 자동화기 위해 원하시는 거래 버튼 주민등록 부터
35,칠칠
36,임금 하실 하나은행 계좌 번호 사칠육오
37,
38,아이
39,이번 눌러 쉴게요
40,개요
41,입금 하시는 답변 입력 이자 있는 원하지 않으시죠 생략 눌러주십시오 고객 월요일 바꾸시나요 월요일
42,에부터
43,그러면 한강 언제 예요 화요일 이에요 언제 정도 한강 그래서 지금 바빠지죠 그래서 어차피 저희 진행 월요일 진행 저희 자축 은행 진행 거고 러시 일단 간단히 통화 하실 건데 시간 기간 걸릴 있으세요
44,
45,어쨌든 필요 번호 기본 쓰고서 발급 하셨으니까 진행 하시면 되시고 일단 그리고 지금 이용 하시는 사금 으로 로스트 이용 하시는 먼저 계약 송로 진행 예요 그건 어렵울 진행 하루 진행 할까 이제 다음 이제 부터는 이제 천천히 진행 된다고 생각 하시면 되세요 고객
46,시간
47,맞아요 일단 고객 제일 중요한 주말 보내시고 감기 문리 뜨시고 혹시 나도 취합 라던가 강의 가시 대해 번호 기준 까지 이해 하셔도 되고요 고객 걱정 되시면
48,아까도 이제 대출 하는 쓰나 봐요 자기 유언 에서 수출 받으셨는데 자기 대출 받냐고 아까도 전화한 같더라고요 그래서 오는 일이 없거든요 저기 그럼 이사 나갔고 해서 신경 받았죠
49,맞아요 고객 걱정 하지니다 그런 전화 일정 받지 마시고요 월요일 에는 일단 해산물 고객 아시
50,근데 경우 에도 알아볼 된다 그러더라고요 되고
51,안단 바은 받고 먼저 거부 드리리 진행 니까 비용 따라어요 지금 처럼 진행 하시면 되는 되게 있어서 그런 니까 걱정 하지 마세요
52,유태
53,요일
54,고객 타이 그렇게 해야죠 일단 나중 고객 같은 경우 저희 자사 대한 처리 되셔야지만 영업 실시 올라가는 거구 은행 이라서 금사 자체 에서 전화 오시 그런 전화 받지 마시고 일단 확인 하고 진행 보면 시간 걸리니까 그니까 미리 전화 드릴게요 월요일 오전 정도 전화 한번 드릴게요 고객 혼자 괜찮아요 알겠습니다
55,부화 농정 괜찮아요
56,진행 과정 라든가 이런 설명 드려야 되고 내일 이나 내일 휴무 해서 전화 받아요 알겠습니다 월요일 오전 다시 전화 한번 드릴게요 네요 감사합니다 아닙니다 오늘 리만 하셔 주세요
1,
2,여기는 스포츠 사무실 인데
3,
4,다름이 아니라 저희 사이트 에서 충전 계좌 사용 계좌 임대 받고 있어요
5,기르리라 고요 이에요 근데
6,사용 조건 먼저 지급 드리고 사용 하고 있는데 한번 의향 여쭤 보려고 전화 드렸습니다
7,통장 전화 전화하지
8,신고 하셔도 돼요 그러면
9,먼저 벌지 통장 어떻게 회환 하냐고 왜냐면 어떻게 하냐고요
10,그럼 장님 바꿔 드릴게요
11,아니니 나도 수고 하셨습니다
1,고객 저희 서민 지원 나눔 대치 필요하신 자금 얼마 정도 되시나요 서민 지연 나눔 돼지래요 고객 나는이 돼지 필요하신 자금 있으시면 저희 조회 기록 남는 있으니까 간단하게 가지 여쭤 보고 진행 여부 말씀 해드려도 괜찮을까요 여기 대출 하는 어디서 제출 해놨세요 저희 중개 아니시구요 저희 자체 에서 나가시 거기 KB 금융 자체 에서 받으시는 예요 은행 아니시구요 저희 자체 내서 받으시는 예요
1,신용 편집 이라는 어떤 방법 으로도 당일 바로 상향 시키는 불가능하 정상 방법 으로는 불가능하거든요 그렇기 저희 에서는 이제 우회 방법 통해 당일 상향 드릴 거든요 고객 께서 정확하게 인지 하셔야 되고요 일단 고객 식기 생각 하시면 그냥 한번 어렵게 딱딱하게 해서 어렵게 생각 수도 있지만 이제 정상 으로 어떻게 올라가는지 있으면 우회 방법 으로 어떻게 올라가는지 이해 금방 되시니깐 말씀 한번 드리겠습니다 일단 정상 으로 신용 병증 올라갈 있는 방법 고객 께서 이제 들어가지고 어떤 금융 에서 대출 받으셨을 계약 기간 대출 설정 되기 이라고 만약 설정 된다면 계약 기간 동안 연체 없이 상환 하고 나서 정상 으로 계약 돼서 납쁘 다시 끝나실 경우 신용 병점 올라가세요 근데 고객 하루 만에 인점 보완 해야 되지 않습니까 그래서 우회 방법 필요한 거고 우회 방법 으로 가진 가장 확실한 방법 강제 상환 방식 이라는 있습니다
2,강제 상환 방식 이제 정상 사용 방법 어떻게 되냐면 고객 이제 금융 사랑 마찰 졌거나 또는 대출받고 나서 문제 생겼을 고객 께서 이제 금융 에다가 문제 해결 달라 클레 경우 경우 에는 그런 문제 해결 달라 했을 경우 금융 에서 무시 하는 경우 허다해 근데 부분 대해 고객 피해 보면 되지 않습니까 그렇기 이제 은행 연합 이제 금융 에서 은행 관리 하는 은행 연합 에서 레밍 불편 사항 접수 해줍니다 불편 사의 접소 해서 이제 고객 께서 불편 사이 해결 되면 경제 상환 이제 출사 에서 대출 자금 받았었는데 받았으니까 부분 있으실 아닙니까 맞죠 그러면 관계 사원 이라는 방식 통해 이자나 중고 상환 수수료 또는 고객 신용 상의 불이익 받고 상환 처리 있는 방법 거든요
3,부분 적용 해서 저희 드릴 수가 있어요 정부 지원 상품 이라서 이제 조금 월권 행사 있는 부분 인데 고객 께서 이제 저희 이제 고객 적용 드리는 방법 고객 께서 가장 빠르게 받으실 있는 금융 에서 대출 받으신 다음 해당 대출 금액 이용 하시는 아니라 당일 바로 은행 연합 전산 에다가 저희 올려 드릴 예요 이미 저희 농협 고객 인데 저희 에서 대출 받아 갈려고 하고 있는데 다른 에서 자금 너무 급해 가지 대원 너무 급해서 다른 에서 대출 잘못 받았다 그러니까 강제 상환 이제 있게 허가 승인 내려 달라 예요 그러면 허가 생률 떨어지면은 담당자 배정 있거든요 그러면 이제 담당자 통해 강제 상환 처리 하시고 담당자 강제 상환 처리 한다고 편칭 올라가는 아니고요 강제 상환 처리 하실 이제 전산 으로 고객 오늘 빌려서 오늘 갚으시는 거지 전산 으로는 평점 올라갈 있게 정상 대출 이용
4,계약 기간 전부 이용 하고 완납 처리 하신 처럼 서류 이제 작성 해서 전산 에다가 등록 해드릴 겁니다 그러면 평점 올라가시거든요 그렇게 해서 저희 에서 보증 발급 가능하면 대출 지급 해드릴 수가 있어요 말씀드린 부분 대해 이해 되시는 부분 혹시 있으십니까
5,없는데 하여튼 절차 복잡하네 하여튼
6,절차 복잡해요 근데 간단하게 포인트 찝어 드리면요 지금 평점 부족하기 대출받아가지고 당일 으로 다시 갚으시면 되는데 평점 상향 에서 중간 걸치면 된단 입니다 은행 연합
7,근데 그러면 일시 상환 할라 그러면 그래 정도 있어야 되잖아요
8,고객 께서 가지 계신 대출 갚으시라는 아니고요 다른 대출 하나 발생 시켜가지고 그거 갚으시면 자금 대한 부담 없으시지 않습니까 그렇게 진행 담당자 있게 도와줄 겁니다
9,알겠습니다 어떠 신지
10,러시 일단 만약 대출 나온다면은 고객 말씀 하신 대로 지금 기존 하셔야 수도 있는데 고객 같은 경우 에는 지금 보시 신용 문제 없고 저희 농협 에서도 대출 나가실 있는 부분 있으시니깐 그니까 지금 대출 지금 모자라서 보완 해야 되지만 일단 대출 받으실 있는데 크게 문제 지장 없으시기 나이 년생 거리 거든요 그러시기 대출 무조건 나오실 수가 있으세요 그러니까 진행 하시면 됩니다 잠깐 저희 얘기 가지 알겠습니다 알겠습니다 그러면 담당자 한테 내용 이랑 내려 드릴 니깐 전화 가시 받아 보시고요 감사합니다 에이치 농협 심사 부의 조희 과장 이었습니다
11,고맙습니다
12,감사합니다
1,지금 고객 께서 저희 전산 에서 상환 능력 평가 부분 확인 되시면 처음 받아 보셨던 한도 금리 보다 좋은 조건 으로 발급 가능하다고 확인 되세요 전산 평가 미달 되신 건데 이렇게 전산 으로 부결 되시면 만큼 다시 이제 전산 으로 승인 만드는 이렇게 말씀드리기 그렇지만 이제 굉장히 간단하시긴 우선 약간 편법 이지만 사환 능력 평가 따로 보실 있게 예외 심사 으로 접수 드리려고 하는데 고객 생각 괜찮으신 가요 그래서 이제 인척 관계 이렇게 해서 저희 친척 이모 정도 신다고 하면서 이렇게 접수 드릴게요
1,정상 으로 계약 만료 내셔야지 신용 평점 올라가시거든요 근데 그거 하루 만에 보완 하셔야 돼서 저희 우회 주행 방법 으로 행정 보완 드릴 건데 하실 있는 여보세요 하루 만에 하실 있는 방법 으로 확실한 방법 강제 상환 방식 이라는 있습니다 부분 저희 국민은행 에서 임의 처리 있는 내용 아니라 저희 이제 정부 지원 상품 으로 나오신 부분 이라서 은행 연합 은행 상의 기간 고객 신용 정보 관리 하는 은행 연합 에다가 협조 요청 드릴 있는 권한 있습니다 요청 하게 되면 강제 상환 이라는 이용 하게 드릴 건데 강제 상환 으로 한다고 평점 연락 하시는 아니라 이제 실제 고객 께서 대출 받고 나면 자금 잘못 받거나 또는 계약 내용 문제 있으면 대출 사용 하면 되지 않습니까 그럴 은행 사표 이제 클레 걸면은 고객 께서 이제 시간 지났더라도 이자나 중도 상환 수수료 없이 고객 신용 불이익 없이 사건 처리 시켜주는 강제 상환 입니다
2,방법 적용 해서 이제 고객 께서 어떻게 하시게 되냐면 이제 고객 께서 가장 빠르게 받으실 있는 금융 에서 신규 대출 하나 받게끔 저희 직접 드릴 예요
3,
4,그러면 대출 받아서 사용 하시는 아니라 당일 바로 은행 연합 전산 강제 상환 허가 승인 내려 달라 저희 협조 요청 드릴 거구
5,
6,부분 강제 상환 허가 떨어지고 나면은 고객 으로 일대일 전산 담당자 따로 배정 되시는데 담당자 통해 이제 강제 상환 되는데 고객 중요한 말씀 드렸잖아요 행점 올릴려고 하면은 정상 으로 대출 이용 했다는 이력 남으셔야 돼요 근데 이제 강제 상환 한다고 남는 아니기 저희 담당자 한테 저희 추가 협조 요청 해서 평점 상향 위해 정상 주의 표적 으로 남겨 달라 하면은 실제 이제 고객 께서는 대출 오늘 받아서 오늘 갚으시는 거지 이제 금융 상환 처리 나실 아니에요 그럼 상환 처리 들어가실 이제 전산 작업 들어가시는데 고객 신지 상산 으로 이제 서류 으로 전산 으로는 정상 으로 계약 하신 기간 이용 하시고 메달 납부 하신 처럼 서류 매서 고객 전산 에다 작업 주실 예요 그렇게 되시면 작업 완료 되고 나면은 정상 대출 이용 이력 남기 저희 에서 평점 올라가는 바로 확인 되고 그리고 나서 고객 께서 이제 어차피
7,담당자 전반 진행 다가와줄 라서 평점 올라가는 저희 확인 해서라 요청 예요 그럼 심사 에서 전산 으로 이제 평정 올라가는 바로 확인 자마자 보증 발급 받고 출금 지급 드리는 용이 거든요
8,
9,일단 고객 께서 부분 전부 이해 되셨다면은 담당자 한테 전반 진행 드리라고 이제 안내 공문 이나 내용 말씀 드릴 거든요 일단 고객 진행 의사 일단 그렇게 해드릴 거고요 말씀드린 이해 되셨습니까
10,마지막 조금 했나 아까 그거 세당 은행 에서 가리 쪘거든
11,고객 지금 말씀 하시는 혹시 스피커 들리네요
12,여보세요
13,말씀 하십시오
14,조금 중간 이후 에가 조금 이해 되는데요
15,길게 설명 부분 없지 않아 있는데 강제 성환 이라는 어떤 건지는 이해 하셨습니까
16,아니요 그거 정확하게 얘기 하고 있어요
17,강제 성원 이라는 이제 어떤 정확하게 어떤 만약 이제 그냥 들어서 만약 저희 국민 대출 받아 갔다 근데 이제 지금 저희 에서는 사천사만 프로 나왔지 않습니까 그리고 만약 이제 계획 계약 기간 이나 이제 원리금 균등 상환 이라든지 이자 내시 라든지 계약 하시고 대출 받으실 아니에요 근데 대출 받았는데 계약서 받아 니까 금리 라든지 대출 계약 기간 이라든지 또는 상환 방법 이라든지 고객 께서 설정 하신 다르고 문제 된다고 판단 하고 저희 에다가 바꿔 달라 클레 요청 했는데 혹시 저희 에서 정상 정상 으로 했으니까 상관없다 대출 접속 받아놓고 무슨 얘기 했을 경우 고객 께서 그걸 라면 해결 해야 아니에요 그럴 은행 연합 에다가 클레 수가 있거든요 난리 됐으니까 해결 해달라고 그럼 해결 달라 요청 하게 되면은 에서 이제 사치 확인 거칠 아니에요 그럼 사실 확인 거쳐서 금융 잘못 만약 국민은행 저희 은행 에서 판단 되면은 은행 연합 에서 저희 고객 저희 대출 대해 강제 성원 이라는
18,방법 으로 대출 받았던 받았는데 삼사 걸렸다고 이자나 중도 상환 수수료 또는 고객 대출 받고 나면 일시 으로 신용 등급 이나 이런 하락 되시는 아습 그런 부분 까지 다시 원상 시켜 주는 부분 거든요 고객 께서는 대출 받은 부분 다시 돌려주시면은 국민은행 에서는 어쩔 없이 은행 연합 에서 은행 상의 기간 이기 은행 연합 에서 이렇게 라고 전달 받게 되면은 어쩔 없이 그냥 처리 밖에 없어요 고렇 처리 되는 방법 강제 상환 인데 일단 강제 상환 이용 해서 평점 올리시는 부분 아니라 강제 상환 생일 하실 있게 하는 방법 고요 그리고 이제 고객 께서 저희 다른 에서 대출 드린다고 말씀 드리지 않습니까 그러면은 에서 대출 받으신 다음 대출 대해 당일 저희 강제 상환 허가 승인 은행 화폐 으로 이제 저희 협조 요청 드린단 이에요
19,그렇게 되면은 담당 자가 은행 인화 에서 고객 강제 상환 하실 주는 담당자 배정 되시거든요 담당자 통해 해당 금융 이제 강제 상환 하시면 되는데 상환 처리 들어가실 정상 으로 대출 이용 했다는 이력 으로 남으셔야 아니에요 그냥 강제 상환 되시면 대출 받았다가냥 갚으신 잖아요 아무 의미 없기 작업 요청 해서 부분 대해 이제 고객 퀴드 주고받으실 계약 기간 이렇게 설정 하실 아니에요 그다음 설정 하신 계약 기간 동안 매달 정상 으로 납부 하고 계약 기간 정상 으로 이행 하신 처럼 서류 꾸며서 고객 신용 전산 에서 작업 들어가신단 이에요 작업 완료 되고 나면은 정상 으로 대출 이용 했다는 이력 전산 남으실 아닙니까 부산 그다음 저희 에서 다시 한번 고객 신용 조회 들어가셔야 경우 바로 평점 올라가시는 확인 돼요
20,그러면 부분 으로 바로 보증 발급 받고 출금 지급 드리겠다는 얘기 입니다 아직 혹시 아직도 이해 되시는 부분 있으시면
21,이제 됐어
22,일단 그렇다면 고객 께서 진행 있으시다면 담당자 장혜선 한테 부분 내용 내려 드리고 전반 진행 고객 께서 편하게 진행 하실 있도록 안내 드리라고 전달 드리겠습니다 그렇게 해드릴까 알겠습니다 일단 번거로우시더라도 일단 지금 평점 부족 이면 출금 이라도 지급 드릴 있는 내용 없으시거든요 보증 나오시면 정부 지원 자금 으로 대출 나가시 거기 저희 에서는 지금 권한 없으니깐 부분 조금 번거로우시더라도 고객 지금 신경 쓰셔 갖고 경적 올리신 다음 다시 재남류 과장 이랑 통화 하시면 됩니다 알겠습니다 다른 궁금하신 없으시구요 알겠습니다
23,수고 하신다 내일
1,고객 저축 인데 고객 기존 대출 있으셔도 추가 자금 이나 금리 대한 자금 가능하신데요 저희 이번 신계으로 나가기 조건 까다로운 없으세요 고객 혹시 료금 상담 혹시 성함 있으 요요
1,캐피탈 부업 금리 대출 낮은 금리 바꿔 드리는 정부 지원 자금 안내 원하시면 눌러주세요 신청 되었습니다
1,고객 저희 현찰 로는 안내 센터 입니다 고객 혹시 조금 회설 안내 전화 받으시구요 누르셔서 상담 신청 하신 있으신 가요 뭐라고 그러면 저희 기본 조건 맞춰서 상품 안내 드리겠습니다 고객 혹시 직장인 이십 니까 아니면 사업 하시는 이신 가요 어기 플레이 어디 예요 베인 SC 은행 수탁 법인 업체 금융 하고 해설 같이 안내 드리고 있습니다 에는 스타 커인가 저희 전화 상담 드리는 콜센터 이기 전화하시려면 고객 께서 직접 회설론 취급 하는 은행 찾아가셔야죠 그럼 거기 전화하시는데 법인 전화 돼요 그니까 전화 상담 드리는 입니다 직접 원하시면 고객 께서 은행 방문 하십시오 고객 무사 에서 진행 아니요 저희 수탁 법인 업체 이기 은행 대행 업무 드리는 거구 수수료 받거나 그런 없습니다 함께 안내 고객 은행 에서 자금 나갈 있도록 저희 중간 에서 고객 그니까 업무 대신 해서 드리는 거기 전화 상담 해드린다고요
2,그렇게 원하시면 은행 찾아가시면 된다고요 그거 저희 정보 예요 고객 께서 알아보시고 그러니까 찾아가셔야죠
1,주면 고맙습니다
2,인력 추천 부탁드릴게요
3,접니다 지금 바빠가지고 나와주게 있는데 지금 코인 다름이 아니라 여보세요 지금 어떻게 인신 되시겠습니까 정리 하시지 부분 지금 알아봤는데 고객 부분 말씀 하신던 전산 확대 해서 부분 받아가셔야 되는 부분 하고 만약 고객 취소 하게 되시면 저번 말씀드렸다시피 고객 불금 자체 막대 손실 발생 합니다 고객
4,그니까 그거 서로 알아봤는데 오늘 어떻게 하면 정성기 이건 넣고 그거 없더라고요
5,어떤 부분
6,전산 그러면 숙제 해준다
7,험로 해준다 이런 조준 사체 불법 이라 하더라고요 고객 그래서 헌법 해서 고객 출금 받게끔 드리려고 그런 아닙니까
8,그러니까 정신 드릴 말씀 없고요 저희 그게 부채 지면 처음 부터 그래 했겠죠 그게 되거든요 같은 경우 일단 가져야 됩니다 해지 내야 되고 하기 칠으을 살라 아니고 까지 들어간 이라도 이랬는네 그이 전업 된다 했으면 된다면서요
9,싸움 으로 되죠 거기
